job_id,shot_name,frames,render_time_per_frame_mins,cost_per_hour,artist
J101,SH200_valid_row,240,8.5,0.85,E.Kose
J102,SH210_text_in_number_field,twelve,8.5,0.85,R.Patel
J103,SH220_zero_frames,0,8.5,0.85,A.Nowak
J104,SH230_negative_time,120,-5.0,0.85,M.Bankole
J105,SH240_missing_field,120,8.5,,A.Nowak
J106,SH250_too_few_columns,120,8.5
J107,SH260_empty_shot,,,0.85,R.Patel

J108,SH270_another_valid,180,12.0,1.40,E.Kose
J109,SH280_negative_frames,-60,10.0,0.85,M.Bankole
J110,SH290_cost_not_number,300,6.0,free,A.Nowak
J111,SH300_too_many_columns,120,8.5,0.85,E.Kose,extra_value
J112,SH310_last_valid,90,20.0,2.10,R.Patel
