job_id,shot_name,artist,frames,render_time_per_frame_mins,cost_per_hour,total_render_mins,total_render_hours,total_cost_gbp,cost_per_frame_gbp,efficiency_rating
KS001,SH010_rooftop_arrival,J.Clarke,180,9.2,1.35,1656.0,27.6,37.26,0.207,Normal
KS002,SH020_corridor_walk,P.Singh,240,6.8,1.1,1632.0,27.2,29.92,0.1247,Normal
KS003,SH030_hologram_insert,M.Chen,96,14.5,1.6,1392.0,23.2,37.12,0.3867,Normal
KS004,SH040_city_window,R.Patel,210,8.1,1.25,1701.0,28.35,35.44,0.1688,Normal
KS005,SH050_drone_pass,S.Okafor,144,17.2,1.75,2476.8,41.28,72.24,0.5017,Normal
KS006,SH060_lab_cleanup,A.Nowak,260,4.6,1.05,1196.0,19.93,20.93,0.0805,Fast
KS007,SH070_security_screen,M.Chen,84,11.8,1.45,991.2,16.52,23.95,0.2852,Normal
KS008,SH080_alley_pursuit,J.Clarke,192,15.4,1.65,2956.8,49.28,81.31,0.4235,Normal
KS009,SH090_phone_comp,P.Singh,72,3.9,1.0,280.8,4.68,4.68,0.065,Fast
KS010,SH100_station_wide,R.Patel,225,12.6,1.5,2835.0,47.25,70.88,0.315,Normal
KS011,SH110_muzzle_flash,S.Okafor,58,7.4,1.3,429.2,7.15,9.3,0.1603,Normal
KS012,SH120_vehicle_dashboard,A.Nowak,132,5.7,1.15,752.4,12.54,14.42,0.1092,Normal
KS013,SH130_archive_monitor,M.Chen,105,10.2,1.4,1071.0,17.85,24.99,0.238,Normal
KS014,SH140_tunnel_run,J.Clarke,204,13.3,1.55,2713.2,45.22,70.09,0.3436,Normal
KS015,SH150_skyline_extension,R.Patel,168,16.1,1.7,2704.8,45.08,76.64,0.4562,Normal
KS016,SH160_evidence_insert,P.Singh,78,4.2,1.05,327.6,5.46,5.73,0.0735,Fast
KS017,SH170_safehouse_wide,A.Nowak,216,8.7,1.3,1879.2,31.32,40.72,0.1885,Normal
KS018,SH180_power_surge,S.Okafor,126,18.6,1.8,2343.6,39.06,70.31,0.558,Normal
KS019,SH190_train_departure,J.Clarke,195,11.4,1.5,2223.0,37.05,55.57,0.285,Normal
KS020,SH200_episode_endboard,M.Chen,60,2.8,1.0,168.0,2.8,2.8,0.0467,Fast
